name,adress,lattitude,longitude
Школа № 1239,"Вспольный переулок, дом 6, строение 3",55.760292,37.588808
Школа № 1231 имени В.Д. Поленова,"Спасопесковский переулок, дом 6, строение 7",55.749866,37.589033
Школа № 1277 с углубленным изучением немецкого языка (СП СОШ №1501),"Сущевская ул., д. 32",55.783848,37.602067
Пятьдесят седьмая школа,"Малый Знаменский переулок, 7/10 стр. 5",55.748615,37.604987
Школа № 1535,"ул. Усачева, д.50",55.725803,37.564931
Школа № 2107,"Большая Переяславская улица, дом 1, строение 1",55.78035,37.64268
Открытая (сменная) школа № 88,"Средняя Калитниковская улица, д. 9-11, стр. 1",55.736741,37.681263
Школа № 315,"Русаковская ул, д. 10, стр. 1",55.782466,37.674705
Школа № 354 имени Д.М. Карбышева,"Лефортовский переулок, дом 10",55.769276,37.677975
Школа № 1501,"Тихвинский переулок, дом 3",55.787705,37.595761
Школа № 1574,"1-я Миусская улица, дом 4",55.779737,37.596965
Инженерная школа № 1581,"Большой Полуярославский пер., д.7/4, стр. 1 - 1А",55.752607,37.663243
Лицей НИУ ВШЭ,"Большой Харитоньевский переулок, д. 4",55.763554,37.64374
Предуниверситарий РГГУ,"Миусская площадь, д. 6",55.77797,37.596246
Центральная музыкальная школа при Московской государственной консерватории имени П.И. Чайковского,"Малый Кисловский переулок, д. 4, стр. 5",55.754735,37.604592
Пушкинская школа № 1500,"Милютинский переулок, д. 18, стр. 2",55.764744,37.633589
Школа № 1520 имени Капцовых,"Леонтьевский переулок, д. 19/2, стр. 1",55.760631,37.604906
Школа № 2054,"ул.Трубная, дом 36",55.772542,37.625936
Академия джаза (ГУДИ),"улица Трёхгорный Вал, дом 2/4, строение 1",55.75859,37.562227
Гимназия № 1513 (немецкое отделение школы №1234),"Новинский бульвар, дом 3, стр.2",55.751249,37.580912
Школа № 1529 имени А.С. Грибоедова,"2-й Обыденский переулок, дом 9",55.741333,37.603505
Школа № 91,"ул.Поварская, д.14",55.754142,37.597163
Школа № 1270 Вектор,"Товарищеский пер., д. 21",55.743796,37.664824
Школа № 1297,"Глинистый пер., д. 7, стр. 1",55.787548,37.63729
Экономический лицей РЭУ им. Г.В.Плеханова,"ул. Зацепа, дом 41, корп. 4",55.729012,37.629215
Школа № 480 им. В.В.Талалихина,ул. Средняя Калитниковская 22 стр.1,55.735302,37.68465
Школа № 498,"ул. Народная, д. 11/2",55.737613,37.651987
"Вальдорфская школа имени А.А. Пинского, СП СОШ № 627","Стремянный пер., д. 33/35",55.726051,37.627642
Школа № 123,"Хлыновский тупик, дом 3, строение 5",55.757941,37.602436
Школа № 1247 имени Юргиса Балтрушайтиса,"Госпитальный пер., д. 3",55.770993,37.687497
Школа № 1468,"Брошевский пер, д.21",55.735125,37.672594
Школа № 1621 Древо Жизни,"Малый Козловский пер., д. 3",55.764941,37.649265
Школа № 2030,"2-я Звенигородская ул., д.8",55.75941,37.555723
Школа № 171,"2-я Фрунзенская улица, дом 7А",55.722223,37.57943
Школа № 179,"ул. Большая Дмитровка, дом 5/6, строение 7",55.759653,37.614734
Школа № 627 имени Генерала Д.Д. Лелюшенко,"Дубининская улица, дом 42",55.724489,37.635072
"Школа № 1216 с углубленным изучением французского языка, СП СОШ № 1468 ","Брошевский переулок, дом 21",55.735125,37.672594
ГБОУ СОШ № 1275 (сп школы 1501),"улица Достоевского, дом 25, строение 1",55.783818,37.606784
Школа № 2104 на Таганке,"1-й Котельнический переулок, дом 5",55.743613,37.646345
Школа № 1259,"5-й Монетчиковский переулок, дом 7",55.732033,37.632089
Московская средняя специальная музыкальная школа-колледж МССМШ имени Гнесиных,"ул. Знаменка, д. 12/2 стр.3",55.750803,37.605068
Физико-математическое отделение Школы № 2107,"Б. Переяславская улица, дом 1, стр 1",55.78035,37.64268
Романовская школа,"Большой Кондратьевский переулок, дом 3",55.772573,37.58226
Школа № 1253,"Зубовский бульвар, дом 5, строение 1",55.734831,37.592599
Школа № 1799,"1-й Кадашёвский переулок, дом 3, строение 1",55.744171,37.621435
Гимназия РГУ им. А.Н.Косыгина,"ул. Садовническая, 33 стр.1",55.745605,37.637596
Школа № 2123 имени Мигеля Эрнандеса,"Столовый переулок, дом 10/2, строение 1",55.756756,37.594755
Школа-интернат II вида № 22 для детей с нарушениями слуха (СП школы №1501),"ул. Малая Дмитровка, дом 14А, с. 5",55.770031,37.607044
Предуниверситарий МГЛУ им. М.Тореза (Лингвистический лицей № 1555),"ул. Остоженка, д. 38",55.738759,37.593983
Школа № 1950,"Зоологическая улица, дом 28, строение 1",55.766354,37.584451
Школа Покровский квартал,"Большой Казённый переулок, дом 9",55.760373,37.655634
Школа на Яузе,"Кондрашёвский тупик, дом 3А",55.768851,37.687973
Школа № 1234,"улица Большая Молчановка, дом 26-28",55.753494,37.590192
Школа № 1284,"Уланский переулок, дом 8",55.767914,37.637919
Школа № 1540,"ул. Новослободская, д. 57 стр. 1",55.78692,37.592213
Школа № 1241 На Красной Пресне,"Большой Трёхгорный пер., д. 3",55.760165,37.563521
Школа № 345 имени А.С. Пушкина,"Елоховский пр., д. 1, стр. 5",55.772998,37.672666
Школа № 518,"Садовническая набережная, д. 37",55.743634,37.63721
Школа № 1331 Молодая Иверия,пер. Сивцев Вражек д. 20,55.747844,37.593938
Школа № 1429 имени Героя Советского Союза Н.А. Боброва,"Переведеновский пер., д. 11",55.778877,37.686662
Школа межкультурных коммуникаций № 1650,"ул. Солянка, д. 14 А",55.752293,37.637389
Школа № 2055 имени Героев Советского Союза Анатолия Живова и Юрия Костикова,"ул. 2-я Черногрязская, д. 7",55.763417,37.547028
Школа № 2124 Центр развития и коррекции,"пер. Тружеников 1-ый, д. 18",55.737015,37.571471
Кадетская школа-интернат № 1 Первый Московский кадетский корпус,"улица Вучетича, дом 30, строение 1",55.815741,37.559685
Медицинский Сеченовский Предуниверсарий,"1-я Бородинская улица, 2",55.74677,37.570132
Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко,Варшавское шоссе д.12.,55.697163,37.61963
Школа № 1525,"2-й Красносельский пер., д 18",55.784364,37.6698
Школа имени В.В. Маяковского,"ул. 1-я Дубровская, д. 16",55.723268,37.671624
Первый Московский Образовательный Комплекс,"ул. Тихомирова, д.10, корп.1",55.883772,37.652445
Кадетская школа-интернат № 1 Первый Московский кадетский корпус,"улица Вучетича, дом 30, строение 1",55.815741,37.559685
Школа № 1252 имени Сервантеса,"Дубосековская улица, дом 3",55.809975,37.496515
Школа № 1211 с углубленным изучением немецкого языка (СП СОШ № 1794),"Дубнинская ул., д. 8А",55.861166,37.570716
Школа № 1288 имени Героя Советского Союза Н.В. Троян,"Хорошёвское шоссе, дом 3",55.773601,37.54241
Школа № 1249,"Чапаевский переулок, дом 6, строение 2",55.80104,37.518138
Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова,Врубеля ул. д. 6,55.805523,37.500612
"Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой","Михалковская улица, д. 3",55.836888,37.535475
Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских,"улица Зои и Александра Космодемьянских, д. 3, к. 1",55.821386,37.504322
Школа № 648 имени Героя Российской Федерации А.Г. Карлова,"Флотская улица, д. 11",55.855588,37.501609
Школа № 1251 имени генерала Шарля де Голля,"улица Сальвадора Альенде, д. 9",55.794143,37.506783
Школа № 1287,"проезд Аэропорта, д. 10",55.796385,37.520914
Школа № 1409,"Ходынский бульвар, д. 7",55.784369,37.531702
Школа № 1454 Тимирязевская,"Тимирязевская улица, д. 14а",55.813334,37.568929
Школа № 1576,"Большая Академическая улица, д. 22а",55.822883,37.529367
Школа № 1590 имени Героя Советского Союза В.В. Колесника,"Фестивальная улица, д. 69",55.862196,37.503064
Школа № 1592 имени Героя Российской Федерации Е.Н. Чернышёва,"Бескудниковский проезд, д. 4б",55.875178,37.555571
Школа № 2100,"Дегунинская улица, д. 18",55.867218,37.534191
Колледж предпринимательства № 11,"Ленинградское ш., 13А",55.81823,37.496192
Школа № 1583 имени К. А. Керимова,"Смольная улица, дом 25",55.849782,37.494575
Предуниверсарий МАИ,"ул. Острякова, д. 15а",55.79852,37.523348
Школа № 1315,"Конаковский пр., д. 5",55.845895,37.481145
Школа № 152,"1-я Аэропортовская ул., д. 1",55.800934,37.535233
Школа № 167 имени Маршала Л.А. Говорова,"Ленинградское шоссе, д. 94 А",55.856093,37.473267
Школа № 224,"Лениградское ш., д. 54",55.837803,37.484406
Школа № 597 Новое поколение,"Петрозаводская ул., д. 19А",55.866081,37.489787
Инженерно-техническая школа имени дважды Героя Советского Союза П.Р. Поповича,"ул. 8 Марта, д. 17",55.805907,37.54833
Кадетская школа № 1784 имени генерала армии В.А. Матросова,"ул. Скаковая, д. 20, стр. 1",55.780016,37.56883
Школа № 90 имени Героя Советского Союза Е.Г. Ларикова,"4-й Новоподмосковный переулок, дом 2А",55.822079,37.504196
Школа № 1384 имени А.А. Леманского,"Новопесчаная улица, дом 15",55.798272,37.515461
